id,expected,predicted,correct,response,prompt_tokens,generated_tokens,prompt_duration_ns,generation_duration_ns
Mercury_7074900,C,B,False,B,86,2,19413416,4889000
Mercury_SC_408762,A,A,True,A. carbon dioxide,95,4,19539666,13985834
ACTAAP_2015_5_8,A,A,True,A,154,2,33842250,4699500
Mercury_7263008,C,A,False,A. The F,117,4,26953000,13938333
MCAS_2000_4_29,A,D,False,D,86,2,19063958,4597292
CSZ_2008_5_CSZ10233,D,D,True,D,112,2,26946375,4644584
Mercury_7128660,C,C,True,C,121,2,26933959,4974334
Mercury_7100520,C,C,True,C,96,2,19347834,4699417
Mercury_7017728,B,B,True,B,100,2,19605042,5081916
Mercury_7032865,A,A,True,A,85,2,19334334,4781209
Mercury_405057,B,B,True,B,92,2,19351750,4654375
Mercury_7057593,A,,False,winter,90,2,19281916,4506458
Mercury_SC_405231,C,D,False,D,108,2,27080125,4719542
VASoL_2007_5_38,A,A,True,A,112,2,27189083,4450958
Mercury_SC_410895,D,D,True,D,112,2,27042542,4748750
Mercury_7015978,D,D,True,D,110,2,27005750,4716792
ACTAAP_2010_5_5,C,C,True,C,158,2,33696292,4976667
Mercury_7080955,D,,False,Goggles,109,3,28049416,10736708
ACTAAP_2009_5_4,D,B,False,B,99,2,20253334,4544291
Mercury_7017010,A,C,False,C,92,2,19312167,4610709
Mercury_7146108,B,A,False,A,113,2,26862750,4832250
NYSEDREGENTS_2012_4_12,C,C,True,C,84,2,19664750,4581125
VASoL_2009_5_3,A,A,True,A,99,2,19333500,4614959
Mercury_SC_401253,C,C,True,C. It diss,97,4,19391208,13653583
Mercury_7235953,B,B,True,B,137,2,27135292,4696458
Mercury_403974,D,D,True,D,92,2,19249125,4639291
Mercury_7241063,C,C,True,C,104,2,19457583,4784667
MCAS_2010_8_12015,B,A,False,A,82,2,19458917,4636916
Mercury_7168350,A,A,True,A,86,2,19722750,4612459
Mercury_SC_402980,B,D,False,D,90,2,19195417,4575792
Mercury_417126,D,D,True,D,122,2,26893084,4673167
NYSEDREGENTS_2010_8_2,D,D,True,D,103,2,19379917,4609500
NYSEDREGENTS_2010_8_13,B,B,True,B,70,2,13850917,4751917
Mercury_177223,A,A,True,A. chemical,113,4,27029958,13715584
Mercury_7200533,A,D,False,D,89,2,19058375,4588458
Mercury_SC_400707,B,B,True,B,106,2,26682792,4711459
Mercury_SC_400380,B,B,True,B,86,2,19095875,4627667
Mercury_7205590,A,,False,E. surface winds,100,4,19428750,13551458
NYSEDREGENTS_2015_4_30,B,B,True,B,88,2,19121000,4688250
NYSEDREGENTS_2012_4_17,A,D,False,D,79,2,18994250,4557292
VASoL_2008_3_5,D,D,True,D,73,2,13222667,4628208
Mercury_SC_415390,D,D,True,D,81,2,19634042,4630958
Mercury_SC_408436,B,C,False,C,120,2,27553666,4697417
Mercury_SC_401143,C,C,True,C,86,2,19481125,4603041
LEAP_2005_8_10403,D,D,True,D,84,2,19021500,4623458
Mercury_7108045,B,C,False,C,127,2,27136917,4448417
Mercury_SC_402251,B,B,True,B,121,2,26802709,4511167
Mercury_7071418,B,B,True,B,153,2,33332250,4516459
Mercury_SC_407370,A,C,False,C,84,2,21758958,4586000
Mercury_7084595,D,D,True,D,94,2,19282750,4563334
Mercury_7041335,A,B,False,B,77,2,18992041,4570541
Mercury_7236320,C,D,False,D,106,2,19241875,4613250
LEAP__5_10308,A,A,True,A,102,2,19424292,4647334
Mercury_7068425,B,B,True,B,89,2,19523625,4610708
Mercury_SC_401308,A,A,True,A,92,2,19228334,4621667
NYSEDREGENTS_2008_4_18,A,A,True,A,78,2,18979834,4666041
Mercury_7165550,A,A,True,A,115,2,27371375,4746666
Mercury_7114923,C,A,False,A. parasit,100,4,19334833,13452625
Mercury_SC_408434,D,D,True,D,110,2,26740166,4704875
Mercury_7008453,C,C,True,C,99,2,20007542,4621375
NYSEDREGENTS_2010_8_14,C,C,True,C,92,2,19281708,4613250
NYSEDREGENTS_2015_8_24,C,,False,E,95,2,19776708,4563209
NYSEDREGENTS_2008_4_6,B,D,False,D,81,2,19559625,4914375
Mercury_400279,B,D,False,D,131,2,27476041,4695667
Mercury_7092190,A,A,True,A,79,2,19353834,5023542
Mercury_7113890,A,D,False,D,111,2,27608125,4792041
TAKS_2009_8_17,C,C,True,C,112,2,27258208,4776042
AKDE&ED_2008_4_3,B,C,False,C,103,2,19657917,4598833
Mercury_7202353,C,B,False,B,102,2,19533166,4615667
